,status_id,screen_name_x,account.type,class_type
0,1059215027981275136,human#8,human,human
1,1161065882199691264,human#9,human,human
2,1062370578970030080,human#10,human,human
3,1198772995021406209,human#5,human,human
4,1418979023993061379,bot#24,bot,gpt3
5,1223726244199649280,bot#3,bot,gpt2
6,1200625678569410560,bot#17,bot,gpt2
7,1516624224948998149,human#17,human,human
8,1490959743107493889,human#17,human,human
9,576251300414951424,human#8,human,human
10,1214434462806601728,human#7,human,human
11,1224377007099797504,bot#9,bot,gpt2
12,1364292528338526215,bot#1,bot,gpt3
13,706281721533227013,bot#16,bot,rnn
14,946531356514820096,bot#11,bot,others
15,1422000053087047682,bot#24,bot,gpt3
16,1276452262638874626,human#4,human,human
17,1218029489696931846,bot#13,bot,gpt2
18,1122279769431609345,human#10,human,human
19,1217854024956944391,bot#9,bot,gpt2
20,1184964052088475648,bot#4,bot,gpt2
21,1206955788880756736,human#12,human,human
22,1369358736746188801,bot#24,bot,gpt3
23,813966376327086080,human#4,human,human
24,1369912746037235713,bot#24,bot,gpt3
25,1200849244703404033,bot#17,bot,gpt2
26,1223122266000506880,bot#3,bot,gpt2
27,1197490341080793088,bot#4,bot,gpt2
28,1172359278155292672,bot#10,bot,others
29,1226467772135301121,bot#4,bot,gpt2
30,1032459925694308358,human#10,human,human
31,1144060064099004418,bot#12,bot,rnn
32,1438928128802500608,bot#24,bot,gpt3
33,1524651924624093184,human#17,human,human
34,1194216106300444672,human#12,human,human
35,1197937816358940672,bot#10,bot,others
36,1247372173536145408,human#4,human,human
37,1190786165302947840,bot#4,bot,gpt2
38,1408843335289036800,bot#24,bot,gpt3
39,1273270802314604545,human#9,human,human
40,1224871033661837312,human#7,human,human
41,1399038008389689344,bot#24,bot,gpt3
42,1200044194015911939,bot#17,bot,gpt2
43,1206758410730950657,bot#4,bot,gpt2
44,1205974476472627202,human#11,human,human
45,1224324159469125632,bot#4,bot,gpt2
46,1043904727698702337,human#3,human,human
47,1564524714168438784,human#17,human,human
48,752732686809169920,human#4,human,human
49,1405572063310536713,bot#24,bot,gpt3
50,1195687996588097538,bot#10,bot,others
51,1179566087614193664,human#9,human,human
52,1202633736468086784,bot#2,bot,gpt2
53,1230902632786485249,human#4,human,human
54,1405572238578008072,bot#24,bot,gpt3
55,1605584073530826752,human#1,human,human
56,1194608482793795584,human#12,human,human
57,1126272860324892672,bot#12,bot,rnn
58,1188792529006800896,bot#4,bot,gpt2
59,1034144749458841602,human#4,human,human
60,1121471221424508928,bot#12,bot,rnn
61,1418979050182303746,bot#24,bot,gpt3
62,1633498451471368192,bot#23,bot,chatgpt
63,1198966130104324103,human#9,human,human
64,1137495677640925184,human#4,human,human
65,1073245555113902081,human#10,human,human
66,1405572142197055491,bot#24,bot,gpt3
67,776979526358175744,human#8,human,human
68,1089238989637210112,bot#11,bot,others
69,1214819060942139392,bot#10,bot,others
70,1193830760202915841,bot#10,bot,others
71,875176114548862978,human#4,human,human
72,1217899355421601792,bot#10,bot,others
73,1210606299743830016,bot#10,bot,others
74,1072511545391894531,human#10,human,human
75,1173773406874898432,human#10,human,human
76,1631743234941812736,bot#23,bot,chatgpt
77,1217233151593979906,bot#4,bot,gpt2
78,1188852926992834560,bot#4,bot,gpt2
79,1215133184058429440,bot#4,bot,gpt2
80,1047580557905813504,human#11,human,human
81,1658278983811883010,bot#23,bot,chatgpt
82,1185235591509659648,bot#4,bot,gpt2
83,1186354603421503490,human#4,human,human
84,1217068852011569152,bot#9,bot,gpt2
85,1608663521092321284,bot#8,bot,gpt3
86,1228430641638690816,human#7,human,human
87,1204702389229408256,bot#10,bot,others
88,1201454816033198080,human#12,human,human
89,1253032530065928197,human#9,human,human
90,1577050576457637889,human#17,human,human
91,1073057918084308993,human#10,human,human
92,1094767757353086978,human#4,human,human
93,1200917908135825408,human#12,human,human
94,1191744264503382016,bot#12,bot,rnn
95,928184516614615045,human#8,human,human
96,1245028704323022849,human#9,human,human
97,1654147341425823746,bot#23,bot,chatgpt
98,587632425632538624,human#8,human,human
99,1219530070601150464,bot#13,bot,gpt2
100,1196624167958794241,bot#10,bot,others
101,1578523955660324865,human#17,human,human
102,1173295228335165440,human#10,human,human
103,1029692317303635969,bot#11,bot,others
104,1201940704286535680,human#4,human,human
105,709104429274804228,bot#16,bot,rnn
106,1029599303063371777,bot#11,bot,others
107,1653289613161644033,human#5,human,human
108,934783948965556224,bot#11,bot,others
109,56107721845518336,human#14,human,human
110,819397949956485120,human#4,human,human
111,1199659168132714496,bot#10,bot,others
